group,model,accuracy,precision,recall,f1,TP,FP,TN,FN
single branch,cnn alone,0.9229668982427462,0.9408163265306122,0.972801875732708,0.9565417867435159,4149,261,368,116
single branch,bilstm alone,0.9270535349407437,0.9294505494505495,0.9915592028135991,0.9595008508224617,4229,321,308,36
single branch,transformer alone,0.9487127094401308,0.9678321678321679,0.9735052754982415,0.9706604324956166,4152,138,491,113
2-branch fusion,cnn + bilstm,0.9278708622803433,0.9356347438752785,0.9849941383352873,0.9596801827527127,4201,289,340,64
2-branch fusion,cnn + transformer,0.9429914180629342,0.9594283079760259,0.9758499413833529,0.967569452516564,4162,176,453,103
2-branch fusion,bilstm + transformer,0.9487127094401308,0.956343792633015,0.986166471277843,0.9710262033937435,4206,192,437,59
3-branch fusion,cnn + bilstm + transformer (FULL ENSEMBLE),0.9399264405394361,0.9497168742921858,0.9831184056271981,0.9661290322580646,4193,222,407,72
fusion rule,simple average (excluded by TRD §3.3),0.9395177768696363,0.9476652379878187,0.9849941383352873,0.9659691883191538,4201,232,397,64
fusion rule,majority vote (excluded by TRD §3.3),0.9407437678790356,0.94473036473484,0.9899179366940211,0.9667964277536066,4222,247,382,43
