model,positive_class,accuracy,precision,recall,f1,TP,FP,TN,FN,hand_verified
"T1.2 baseline: Random Forest (rows, not sequences)",Attack,0.996444002600084,0.9970569417786308,0.9989743589743588,0.9980147294268332,23376,69,2684,24,True
cnn branch alone,Attack,0.8927257866775644,0.9072299651567944,0.9767878077373974,0.9407248504008129,4166,426,203,99,True
bilstm branch alone,Attack,0.8673886391499795,0.8814345991561181,0.9796014067995311,0.927928928373126,4178,562,67,87,True
transformer branch alone,Attack,0.9254188802615447,0.9407775768535263,0.9758499413833529,0.9579928645413741,4162,262,367,103,True
ENSEMBLE (confidence-weighted fusion),Attack,0.898242746219861,0.9081256771397617,0.9826494724501759,0.943918918918919,4191,424,205,74,True
FUSION baseline: simple average,Attack,0.8980384143849611,0.9073993942016443,0.9833528722157092,0.9438505682457521,4194,428,201,71,True
FUSION baseline: majority vote,Attack,0.8990600735594606,0.9059203444564048,0.9866354044548652,0.9445566778900112,4208,437,192,57,True
